Variable,RFImportance
39.78_60.0553m/z,0.0
43.4_65.0054m/z,1.2558329788944342e-05
66.93_68.9968m/z,1.3508297954457754e-05
81.92_70.065m/z,0.0
39.81_71.0602m/z,0.0
50.3_72.0806m/z,0.0
181.29_72.0804m/z,0.0
79.03_74.0599m/z,0.0
87.34_74.0864m/z,0.0
187.76_76.0392m/z,0.0
78.48_76.0391m/z,0.0
243.08_76.0392m/z,0.0
215.75_77.0135m/z,0.0
215.75_77.0383m/z,0.0
234.45_77.0384m/z,0.0
125.42_77.0384m/z,0.0
319.27_77.0385m/z,7.747414620880203e-05
264.43_77.0384m/z,0.0
333.48_77.0385m/z,9.773286890004138e-06
215.72_78.0417m/z,0.0
52.24_79.0209m/z,0.0
234.44_79.054m/z,0.00010080926086151069
47.38_80.0493m/z,0.0
133.09_81.0331m/z,0.0
45.8_81.0445m/z,0.0
36.42_81.0445m/z,0.00015125236444602164
264.42_81.0697m/z,0.0
178.79_83.0489m/z,0.0
36.05_83.0602m/z,0.0
217.96_83.0602m/z,0.0
274.66_83.0852m/z,0.0
76.94_84.0442m/z,0.0
217.96_84.0442m/z,0.0
58.21_84.0442m/z,1.4333116619108182e-05
250.69_84.0442m/z,0.0
332.17_84.0442m/z,4.2108415853435425e-05
120.4_84.0442m/z,0.0
276.73_84.0442m/z,0.0
36.03_84.0632m/z,0.0
107.67_84.0805m/z,0.0
80.56_84.0806m/z,0.0
46.02_84.0805m/z,1.3982699058153987e-05
58.25_85.0282m/z,2.302394056069922e-05
144.17_85.0282m/z,0.0
336.82_85.0282m/z,5.542012085032989e-05
417.6_85.0283m/z,0.0
196.48_85.0282m/z,0.0
182.4_85.0282m/z,0.0
98.13_85.0282m/z,0.00020853918519822407
391.51_85.0282m/z,0.0
88.29_85.0282m/z,0.0
375.99_85.0282m/z,0.0
217.93_85.0474m/z,0.0
76.75_85.0473m/z,0.0
39.77_85.0504m/z,0.0
135.65_86.0056m/z,0.0
100.83_86.0598m/z,0.0
52.58_86.0598m/z,0.0
136.31_86.0599m/z,0.0
184.21_86.0597m/z,5.432301645965231e-05
294.46_86.0598m/z,0.0
88.91_86.0961m/z,0.0
56.16_86.0962m/z,0.00010105332662276084
245.51_86.0961m/z,0.0
66.88_87.0074m/z,0.0
95.43_87.0436m/z,0.0
74.57_87.0629m/z,0.0
100.55_87.063m/z,0.0
147.31_87.0915m/z,0.0
56.12_87.0994m/z,0.0
91.59_87.0994m/z,6.10129924598841e-05
60.96_88.0389m/z,0.0002923201861994757
46.55_88.0388m/z,0.0
116.27_88.0385m/z,0.0
107.56_88.0387m/z,0.0
39.93_88.0866m/z,0.0
43.36_89.0231m/z,0.0
186.06_89.0383m/z,0.0
165.41_89.0383m/z,9.175806499606909e-05
237.39_89.0383m/z,0.0
74.58_90.0369m/z,0.0
36.6_90.0546m/z,0.00030388126387319856
53.76_90.0546m/z,0.0
286.0_90.0547m/z,0.0
91.66_90.1095m/z,0.0
215.7_91.0415m/z,0.0
89.79_91.054m/z,0.0
217.92_91.054m/z,0.0
165.38_91.0539m/z,0.0005567110288877806
333.6_91.054m/z,0.0
125.46_91.0541m/z,0.00016844246360295573
69.84_91.0539m/z,0.0
243.03_91.054m/z,0.0
176.17_91.0539m/z,0.0
110.67_91.0539m/z,0.0
147.3_91.0539m/z,0.0
87.33_91.1077m/z,0.0
91.67_91.113m/z,0.0
250.3_92.0255m/z,1.3187617215305925e-05
294.52_92.0254m/z,0.0
163.03_92.0492m/z,0.0
37.34_92.0492m/z,3.663200028784498e-05
117.16_92.0492m/z,0.0
217.9_92.0574m/z,0.00015661696550129682
84.09_92.0573m/z,0.0001692565031567396
333.59_92.0577m/z,0.0
87.35_92.1101m/z,0.0
87.3_92.1368m/z,0.0
87.26_92.1838m/z,0.0
166.97_93.033m/z,0.0
151.16_93.0331m/z,0.0
57.6_93.0445m/z,0.0
77.2_93.0445m/z,0.0
37.27_93.057m/z,5.4277578224321806e-05
117.15_93.0569m/z,0.0
154.94_93.0569m/z,0.0
333.53_93.0696m/z,0.0
125.43_93.0695m/z,0.0
174.51_93.0694m/z,0.0
144.02_94.0285m/z,0.0
215.65_94.0409m/z,0.0
121.38_94.0648m/z,0.0004086740697182427
150.87_94.0647m/z,0.00018302959689353758
53.23_95.0129m/z,0.0
142.24_95.0126m/z,0.0
130.98_95.0124m/z,0.0
86.37_95.0125m/z,0.0
131.2_95.0237m/z,0.0
60.15_95.0364m/z,0.0
215.74_95.049m/z,0.0
234.43_95.0489m/z,0.0
319.24_95.049m/z,0.0
264.35_95.0489m/z,0.0
147.17_95.0489m/z,0.0
163.02_95.0488m/z,0.0
333.51_95.0489m/z,0.0
176.49_95.0489m/z,0.0
250.2_95.0489m/z,9.070850863866494e-06
294.54_95.0489m/z,0.0
125.46_95.0493m/z,0.0
49.48_95.0601m/z,0.0
59.48_95.0601m/z,0.0
78.21_95.0601m/z,0.0
215.75_95.077m/z,0.0
333.59_95.0852m/z,0.0
235.12_95.0851m/z,0.0
267.45_95.0852m/z,0.0
174.59_95.0851m/z,0.0
215.72_95.1242m/z,0.0
142.22_96.0159m/z,0.0
51.57_96.0298m/z,0.0
69.35_96.0442m/z,0.0
59.69_96.0441m/z,0.0
142.27_96.0441m/z,0.0
193.8_96.0442m/z,0.0
201.83_96.0441m/z,0.0
103.51_96.0442m/z,0.0
115.81_96.0442m/z,0.0
39.08_96.0442m/z,3.0007020359041224e-05
182.63_96.0442m/z,0.0
126.96_96.0442m/z,0.0
215.71_96.0523m/z,0.0
84.06_96.052m/z,0.0
51.55_96.0521m/z,0.0
165.17_96.0619m/z,0.0
37.95_96.0674m/z,0.0
56.99_96.0804m/z,0.0
39.25_97.0282m/z,0.0
58.52_97.0281m/z,0.0
88.19_97.0282m/z,0.0
104.75_97.0281m/z,0.00015604020105535737
51.55_97.0363m/z,0.0
59.77_97.0473m/z,0.0
69.21_97.0473m/z,0.0
38.85_97.0474m/z,0.0
182.56_97.0472m/z,0.0
215.65_97.0543m/z,0.0
257.67_97.0645m/z,1.3517332019057026e-05
265.61_97.0644m/z,0.0
37.7_97.0756m/z,0.0
63.0_97.0758m/z,0.0
54.32_97.0756m/z,5.4735723537223005e-05
82.96_97.0758m/z,0.0
56.95_97.0877m/z,0.0
51.52_98.0391m/z,0.0
114.83_98.0597m/z,0.0
38.3_98.0598m/z,0.0
90.01_98.0598m/z,0.0
137.99_98.0597m/z,0.0
81.82_98.0598m/z,0.0
98.95_98.0597m/z,0.0
61.3_98.0598m/z,0.0
157.0_98.0598m/z,0.0
165.15_98.0774m/z,0.0
56.07_98.0961m/z,0.0
41.06_98.0961m/z,0.0
81.08_98.0961m/z,0.0
111.93_98.096m/z,0.0
90.76_99.0438m/z,0.0
53.99_99.0438m/z,0.0
101.79_99.0438m/z,0.0
171.24_99.0438m/z,0.0
63.15_99.0549m/z,0.0
89.52_99.0628m/z,0.0
68.32_99.0914m/z,2.31748823511702e-05
56.09_99.0993m/z,4.2129313901406336e-05
81.03_99.1004m/z,1.2580837769424181e-05
50.07_100.0213m/z,0.0
47.65_100.0391m/z,0.0
57.37_100.039m/z,0.0
36.43_100.0754m/z,0.0
82.89_100.0754m/z,0.0
92.08_100.0754m/z,0.0
100.2_100.0753m/z,0.0
136.72_100.0755m/z,0.0
129.27_100.0755m/z,0.0
47.51_100.0754m/z,0.0002755917218564059
58.25_100.0754m/z,0.0
172.93_100.0754m/z,0.0
115.83_100.0754m/z,0.00015172676228815263
157.0_100.0754m/z,0.0
108.56_100.0754m/z,0.0
220.84_100.0754m/z,0.0
285.78_100.0754m/z,0.0
145.39_100.0754m/z,9.207128718933632e-05
129.28_100.1037m/z,7.019550779249513e-05
136.72_100.1031m/z,0.0
91.06_100.1117m/z,0.0
73.43_100.1116m/z,0.0
52.54_100.1117m/z,0.0
113.53_100.1117m/z,0.0
129.32_100.1528m/z,0.00011326131126178929
169.33_101.0052m/z,0.0
38.14_101.0166m/z,0.002047499658188007
121.09_101.0416m/z,0.0002105929264435624
50.14_101.0594m/z,0.0
145.92_101.0594m/z,0.0
217.94_101.0706m/z,0.0
136.72_101.0785m/z,0.0
129.25_101.0785m/z,0.0
83.1_101.0785m/z,0.0
172.91_101.0784m/z,0.0
47.49_101.0785m/z,0.0
151.72_102.0368m/z,9.646098713393302e-05
125.41_102.0461m/z,0.0
319.27_102.0461m/z,0.0
41.88_102.0547m/z,1.1744578959592036e-05
53.32_102.0547m/z,0.0
79.01_102.0546m/z,0.0
